Tri,TriSig,Dex,DexSig
3846,0.0267,3846,0.02139
3845.5,0.02618,3845.5,0.01679
3845,0.02204,3845,0.01776
3844.5,0.02707,3844.5,0.021
3844,0.03412,3844,0.02265
3843.5,0.0201,3843.5,0.00965
3843,0.00714,3843,0.00513
3842.5,0.02502,3842.5,0.02393
3842,0.03655,3842,0.02468
3841.5,0.0234,3841.5,0.01762
3841,0.01904,3841,0.01834
3840.5,0.0298,3840.5,0.01836
3840,0.0273,3840,0.02012
3839.5,0.02562,3839.5,0.02882
3839,0.03267,3839,0.0314
3838.5,0.03563,3838.5,0.02678
3838,0.02775,3838,0.01585
3837.5,0.03853,3837.5,0.02002
3837,0.05151,3837,0.02772
3836.5,0.02842,3836.5,0.02115
3836,0.02149,3836,0.02982
3835.5,0.021,3835.5,0.03426
3835,0.0145,3835,0.02607
3834.5,0.01751,3834.5,0.01089
3834,0.03127,3834,0.01194
3833.5,0.04551,3833.5,0.02802
3833,0.04221,3833,0.03194
3832.5,0.03611,3832.5,0.02802
3832,0.02953,3832,0.01992
3831.5,0.02032,3831.5,0.01038
3831,0.02428,3831,0.01578
3830.5,0.0233,3830.5,0.0258
3830,0.01523,3830,0.01762
3829.5,0.01728,3829.5,0.01264
3829,0.0223,3829,0.01322
3828.5,0.02212,3828.5,0.01442
3828,0.02094,3828,0.01847
3827.5,0.02197,3827.5,0.02194
3827,0.02637,3827,0.02733
3826.5,0.0261,3826.5,0.0277
3826,0.02448,3826,0.02552
3825.5,0.02592,3825.5,0.02598
3825,0.01871,3825,0.02142
3824.5,0.02014,3824.5,0.01984
3824,0.02358,3824,0.02515
3823.5,0.02057,3823.5,0.02708
3823,0.02725,3823,0.0241
3822.5,0.03142,3822.5,0.02302
3822,0.0267,3822,0.01931
3821.5,0.02187,3821.5,0.01402
3821,0.01649,3821,0.01623
3820.5,0.01862,3820.5,0.02688
3820,0.02777,3820,0.03122
3819.5,0.03648,3819.5,0.0288
3819,0.02807,3819,0.0256
3818.5,0.02592,3818.5,0.03336
3818,0.02863,3818,0.02663
3817.5,0.02605,3817.5,0.015
3817,0.02838,3817,0.02135
3816.5,0.03454,3816.5,0.025
3816,0.03621,3816,0.02417
3815.5,0.0211,3815.5,0.02169
3815,0.01751,3815,0.02072
3814.5,0.02355,3814.5,0.01924
3814,0.01641,3814,0.01262
3813.5,0.01335,3813.5,0.01462
3813,0.01334,3813,0.01844
3812.5,0.016,3812.5,0.02328
3812,0.01699,3812,0.02495
3811.5,0.01347,3811.5,0.0144
3811,0.01139,3811,0.00762
3810.5,0.01011,3810.5,0.01561
3810,0.01465,3810,0.02235
3809.5,0.01995,3809.5,0.02515
3809,0.01979,3809,0.02292
3808.5,0.01601,3808.5,0.01377
3808,0.02039,3808,0.00799
3807.5,0.0284,3807.5,0.01302
3807,0.03681,3807,0.02182
3806.5,0.03009,3806.5,0.01962
3806,0.01149,3806,0.01703
3805.5,0.01387,3805.5,0.01568
3805,0.02397,3805,0.013
3804.5,0.03055,3804.5,0.01673
3804,0.0303,3804,0.01931
3803.5,0.02313,3803.5,0.01515
3803,0.01626,3803,0.00824
3802.5,0.01767,3802.5,0.01162
3802,0.02563,3802,0.01212
3801.5,0.01909,3801.5,0.00198
3801,0.01561,3801,-0.00488
3800.5,0.02688,3800.5,0.00364
3800,0.02287,3800,0.01839
3799.5,0.02253,3799.5,0.02245
3799,0.03149,3799,0.02125
3798.5,0.02802,3798.5,0.01644
3798,0.0254,3798,0.01586
3797.5,0.02503,3797.5,0.02142
3797,0.01721,3797,0.01388
3796.5,0.01812,3796.5,0.00842
3796,0.02994,3796,0.01678
3795.5,0.02323,3795.5,0.01412
3795,0.01169,3795,0.01683
3794.5,0.01636,3794.5,0.02728
3794,0.02287,3794,0.02858
3793.5,0.02004,3793.5,0.02555
3793,0.01573,3793,0.01383
3792.5,0.01872,3792.5,0.00945
3792,0.02167,3792,0.01817
3791.5,0.01822,3791.5,0.02012
3791,0.01748,3791,0.01206
3790.5,0.01787,3790.5,0.00847
3790,0.02232,3790,0.01575
3789.5,0.02129,3789.5,0.01891
3789,0.0151,3789,0.01282
3788.5,0.01393,3788.5,0.0081
3788,0.0141,3788,0.01068
3787.5,0.01285,3787.5,0.01753
3787,0.01789,3787,0.02229
3786.5,0.02543,3786.5,0.02222
3786,0.0315,3786,0.01756
3785.5,0.02922,3785.5,0.01329
3785,0.02215,3785,0.01907
3784.5,0.01982,3784.5,0.0227
3784,0.01367,3784,0.01866
3783.5,0.01899,3783.5,0.02199
3783,0.02448,3783,0.01866
3782.5,0.01626,3782.5,0.01236
3782,0.01897,3782,0.01721
3781.5,0.02697,3781.5,0.01871
3781,0.03135,3781,0.0224
3780.5,0.03656,3780.5,0.03177
3780,0.02822,3780,0.03149
3779.5,0.01786,3779.5,0.027
3779,0.01879,3779,0.02812
3778.5,0.02557,3778.5,0.0265
3778,0.02127,3778,0.02115
3777.5,0.01515,3777.5,0.01008
3777,0.02348,3777,0.01088
3776.5,0.02989,3776.5,0.02513
3776,0.02094,3776,0.02685
3775.5,0.01324,3775.5,0.01836
3775,0.01226,3775,0.01609
3774.5,0.0157,3774.5,0.01907
3774,0.01854,3774,0.02009
3773.5,0.01754,3773.5,0.01415
3773,0.01927,3773,0.01189
3772.5,0.02074,3772.5,0.01714
3772,0.0145,3772,0.01344
3771.5,0.00968,3771.5,0.00937
3771,0.01977,3771,0.01731
3770.5,0.02132,3770.5,0.01673
3770,0.00794,3770,0.00868
3769.5,0.01334,3769.5,0.00975
3769,0.02107,3769,0.01272
3768.5,0.01661,3768.5,0.01629
3768,0.0135,3768,0.01774
3767.5,0.01629,3767.5,0.01871
3767,0.01478,3767,0.01463
3766.5,0.00993,3766.5,0.01403
3766,0.01078,3766,0.01003
3765.5,0.01882,3765.5,0.01121
3765,0.02245,3765,0.01466
3764.5,0.02602,3764.5,0.01332
3764,0.0283,3764,0.02273
3763.5,0.02558,3763.5,0.02229
3763,0.02377,3763,0.01232
3762.5,0.0249,3762.5,0.016
3762,0.02682,3762,0.02552
3761.5,0.0315,3761.5,0.02907
3761,0.0304,3761,0.02305
3760.5,0.02353,3760.5,0.01591
3760,0.0155,3760,0.01049
3759.5,0.01206,3759.5,0.00688
3759,0.00774,3759,-0.00092
3758.5,0.00674,3758.5,0.00362
3758,0.01417,3758,0.01478
3757.5,0.02295,3757.5,0.02475
3757,0.02843,3757,0.03197
3756.5,0.02865,3756.5,0.02815
3756,0.03017,3756,0.03164
3755.5,0.02989,3755.5,0.03129
3755,0.02275,3755,0.01844
3754.5,0.02229,3754.5,0.01329
3754,0.0243,3754,0.01703
3753.5,0.0224,3753.5,0.02054
3753,0.02703,3753,0.01887
3752.5,0.04305,3752.5,0.03356
3752,0.04958,3752,0.03486
3751.5,0.03802,3751.5,0.01659
3751,0.02753,3751,0.01694
3750.5,0.03929,3750.5,0.02437
3750,0.0477,3750,0.01748
3749.5,0.0269,3749.5,-0.00182
3749,0.02155,3749,0.00615
3748.5,0.02675,3748.5,0.01917
3748,0.02122,3748,0.01031
3747.5,0.01721,3747.5,0.01352
3747,0.02298,3747,0.0312
3746.5,0.03514,3746.5,0.04171
3746,0.02967,3746,0.03852
3745.5,0.02442,3745.5,0.02109
3745,0.04295,3745,0.00958
3744.5,0.05542,3744.5,0.00963
3744,0.04039,3744,0.02703
3743.5,0.04312,3743.5,0.04506
3743,0.04772,3743,0.03409
3742.5,0.02373,3742.5,0.0147
3742,0.00913,3742,0.00729
3741.5,0.01598,3741.5,0.01036
3741,0.02328,3741,0.01335
3740.5,0.02647,3740.5,0.02393
3740,0.01972,3740,0.0297
